,congOrgs,match
25249,Htfd Ttl Return Bond,
25250,Openheimer Funds 529 Moderate,
25251,FCG Advisors LLC,
25252,Oppenheimer Sm cap Value,
25253,Christopher A Coons Cru/Checking,
25254,Fidelity Vip Equity-income,
25255,International Bond N,
25256,Sentinel Short Maturity Govt,
25257,Gold & Special Minerals N,
25258,Fidelity Vip Growth,
25259,Small & Mid Cap Value Fund,
25260,International Small Company,"('Schwab Fundamental International Small Company Index ETF', 100)"
25261,International Growth N,
25262,Quest International Value Fund,
25263,Real Estate N,"('Blue Ridge Real Estate Co', 92)"
25264,Proshares Short S&P 500 Fund,"('ProShares Short S&P500', 91)"
25265,Hartford Small Cap Growth Hls,
25266,Commodity Strat To Ret Fund,
25267,Oppenheimer Funds 529 9 to 11 Years,
25268,Oppenheimer Funds 529 Moderate,
25269,New Castle County Pension,
25270,Putnam International Equity,
25271,Alliance Value,
25272,Hartford International Opportunities,
25273,Virtus Alphasector Rotation,
25274,Sentinel Short Maturity Govt Fund,
25275,Oppenheimer Gold & Special Minerals,
25276,Oppenheimer Small & Mid Cap Value,
25277,Oppenheimer International Small Co Fund,
25278,Proshares Short S&P 500,"('ProShares Short S&P500', 91)"
25279,Oppenheimer Commod Strat TotalReturn Fnd,
25280,Virtus Foreign Opportunities,
25281,ING Annuity Co Deferred Comp Plan,
25282,Bangor Savings Bank NOW Account,
25283,US Federal Credit Union/Savings,
25284,"TDBank(Bangor, Maine)/Savings",
25285,"TDBank(Bangor, Maine)/Checking",
25286,Fidelity Asset Manager IRA,
25287,BlackRock Mid-Cap Growth Equity Inv,
25288,Voya Financial Deferred Comp Plan,
25289,Rental real estate Condominium St Pete,
25290,Minnesota State Bond,
25291,Fidelity Equity Dividend Income Fund,
25292,Cohen & Steers Dividend Value Fund,
25293,Washington County Water & BER Bond,
25294,"US Senate Federal CU(Alexandria, VA)/Savings",
25295,University of Illinois Bond,
25296,"South Ogden, UT Bond",
25297,SOUDERTON PA AREA SCH Bond,
25298,SAN ANTONIO TX EL GAS Bond,
25299,Roche Holding AG,"('Roche Holding AG', 100)"
25300,OHIO Water DEV AUTH Water Bond,
25301,NY Cty TRANSITION SR E,
25302,New York NY FISCAL Bond,
25303,METROPOLITAN TRANS AUTH Bond,
25304,MARYLAND TRANS AUTH Bond,
25305,Maryland Dept Trans Revenue B/E Bond,
25306,MAN-AHL DIVERSIFIED Fund,
25307,Henderson European Focus Fund,
25308,DWS Ultra Short Duration Svc Fund,
25309,Charleston County SC SCH Bond,
25310,California VAR G/O Bond,
25311,Bulloch County GA School Bond,
25312,Waste Connections Inc,"('Waste Connections Inc.', 100)"
25313,Snap-on Inc,"('Snap-On Inc', 91)"
25314,NEW YORK MUN Water FIN AU SR EE Bond,
25315,EPR Properties,"('EPR Properties', 100)"
25316,ENERGY NORTHWEST WA EL Bond,
25317,"Charles County, MD Bond",
25318,CHARLES CNTY MD ESCROW TO MAT 1598077K6,
25319,Legg Mason Batterymarch Intl Eq Fund,
25320,Huntsville AL SR A 447025FR3,
25321,ALPS Alerian MLP ETF,"('ALPS Alerian MLP ETF', 100)"
25322,Abbey Capital Multi Manager Fund IRA,
25323,AAA Energy Opportunities Fund LLC,
25324,Capitol One Bank/Savings & Money Market,
25325,Blackrock Mid-Cap Growth (IRA),
25326,"Washington County, MD Water",
25327,State of Washington G/O Bond,
25328,State of California Variable G/O Bond,
25329,"Souderton Area School District, PA",
25330,Ohio Water Dev Authority Bond,
25331,North Carolina Medical Care Commission,
25332,"New York, NY Fiscal",
25333,Maryland Trans Auth Grant & Revenue Bond,
25334,Mansfield TX Independent School District,
25335,Man-Ahl Diversified 1 (IRA),
25336,Ft Templeton Growth C (,
25337,"Electric & Gas/San Antonio, TX",
25338,"Charlston County, SC Schools",
25339,"Carroll County, MD",
25340,Bulloch County GA School,
25341,Bangor Savings Bank/Now Account,
25342,Abbey Capital Multimanager Fund Ltd,
25343,AAA Energy Opportunities Fund LLC (IRA),
25344,"U.S Tips, 1.875, 7-15-13",
25345,Rio Tinto Group,
25346,Prescision Castparts,"('Precision Castparts Corp.', 95)"
25347,PNC Funding Corp,
25348,New York Muni Water Finance Authority,
25349,"Huntsville, Alabama",
25350,Energy Northwest WA Elec Revenue Bond,
25351,3D Systems Corp,"('3D Systems Corp', 100)"
25352,SW Collins Co,
25353,Peoples Heritage Bank NOW Account,
25354,TDBank/Savings,
25355,TDBank/Checking,
25356,FNF-Fidelity Asset Manager,
25357,UBS BANK USA DEP Account XX06,
25358,Rental real estate/Condominium/St Pe,
25359,MainStay Marketfield Fund,
25360,Ivy Asset Strategy C Fund,
25361,"Capital One Salt Lake City, UT/Money Market A/C",
25362,Wells Fargo/Money Market Account,
25363,Washington State G/O Bond,
25364,Washington County Water & BE/R Bond,
25365,US Senate Federal CU/Savings,
25366,University ILL Bond,
25367,UBS BANK USA DEP Account XX10,
25368,Oppenheimer SteelPath MLP Income Fund,
25369,NEW YORK CITY TRANSITION SR E Bond,
25370,MINNESOTA Bond,
25371,MAN-AHL DIVERSIFIED IRA,
25372,Legg Mason Batterymarch Intl Eq C Fund,
25373,Bangor Savings Bank Bangor/NOW Account,
25374,AllianzGI Short Duration High Income Fund,
25375,AAA Energy Opportunities Fund LC Filer comment,
25376,Pengrowth Energy Corp,
25377,Halliburton CO,"('Halliburton Co', 93)"
25378,Washington Trust Bancorp,"('Washington Trust Bancorp Inc', 100)"
25379,Vectren Corp,"('Vectren Corp', 100)"
25380,Validus Holdings,"('Validus Holdings Ltd', 100)"
25381,US Treasury Inflation Protected (TIPS),
25382,Umpqua Holdings Corp,"('Umpqua Holdings Corp', 100)"
25383,UBS BANK USA DEP Account XX09,
25384,UBS BANK USA DEP Account XX08,
25385,UBS BANK USA DEP Account XX07,
25386,Tupperware Brands Corp,"('Tupperware Brands Corp', 100)"
25387,People's United Financial Inc,"(""People's United Financial Inc"", 100)"
25388,PartnerRe Ltd,"('PartnerRe Ltd', 100)"
25389,PacWest Bancorp Fund,"('PacWest Bancorp', 100)"
25390,MTS Systems Corp,"('MTS Systems Corp', 100)"
25391,McGrath Rentcorp Fund,"('McGrath RentCorp', 94)"
25392,Maxim Integrated Products Inc,"('Maxim Integrated Products Inc.', 100)"
25393,Lincoln Electric Holdings,"('Lincoln Electric Holdings Inc', 100)"
25394,Landauer Inc,"('Landauer Inc.', 100)"
25395,j2 Global Inc,"('j2 Global Inc', 100)"
25396,IDEX Corp,"('IDEX Corporation', 100)"
25397,HollyFrontier Corp,"('HollyFrontier Corp', 100)"
25398,HNI Corp,"('HNI Corp', 100)"
25399,Hercules Technology Growth Capital Inc,
25400,HCC Insurance Holdings,"('HCC Insurance Holdings Inc.', 100)"
25401,Hatteras Financial Corp,"('Hatteras Financial Corp', 100)"
25402,Fly Leasing,"('Fly Leasing Ltd', 100)"
25403,FirstMerit Corp,"('FirstMerit Corp', 100)"
25404,Energy Northwest WA Elec Ref Revenue Bond,
25405,CYS Investments Inc,"('CYS Investments Inc', 100)"
25406,Computer Programs & Systems Inc,
25407,City Holding Co,"('City Holding Co', 100)"
25408,CHARLES County MD BE/R 1598077P5,
25409,Capstead Mortgage Corp,"('Capstead Mortgage Corp', 100)"
25410,Baytex Energy Corp,
25411,Agree Realty Corp,"('Agree Realty Corp', 100)"
25412,ACE Ltd,
25413,21st Century Fox,
25414,US BANCORP MED TERM NTS,
25415,US AIRWAYS,
25416,UBS BANK USA DEP Account XX11 IRA,
25417,TrustCo Bank Corp NY,"('TrustCo Bank Corp NY', 100)"
25418,Total SAFiler comment: sold,
25419,STERLING BANCORP DEL COM Filer comment: sold,
25420,Sterling Bancorp,"('Sterling Bancorp', 100)"
25421,Steris Corp,
25422,Rio Tinto plc,
25423,Qwest Corp,"('Qwest Corp', 100)"
25424,PNC FUNDING CORP B/E,
25425,PNC Bank,
25426,PIONEER NAT RESOURCES,
25427,OneBeacon Insurance Group Ltd,"('OneBeacon Insurance Group Ltd', 100)"
25428,NORTH CAROLINA MED CARE SR A BE Bibd,
25429,MKS Instruments Inc,"('MKS Instruments Inc', 100)"
25430,MIAMI DADE County FL TRAN ASSURSR Bond,
25431,MANSFIELD TX ISX BE Bond,
25432,IAMGOLD Corp,
25433,Hewlett-Packard Co B/E Bond,
25434,Heinz H J CO,
25435,Gen E Cap Corp,
25436,Estate Distribution,
25437,EOG Resources INC B/E Bond,
25438,Ensco plc,
25439,Contl 2012-2 A,
25440,CARROLL County MD BE/rate,
25441,CAPLEASE,
25442,BlackRockInc,
25443,AmerisourceBergen Corp,"('AmerisourceBergen Corp', 100)"
25444,American Tower Inc,
25445,ING Annuity Co,
25446,Bangor Savings Bank,
25447,TDBank Savings,
25448,Schwab Government Securities Fund,
25449,Fed Farm Credit Bank Bond,
25450,TDBank Checking,
25451,Fidelity Asset Manager 50 Fund/IRA,
25452,Winslow ME 975434FU0,
25453,Voya US Stock Index Fund,
25454,US Senate Federal CU Savings,
25455,University of Illinois,
25456,SOUTH OGDEN UT,
25457,"SAN ANTONIO, TX EL GAS Bond",
25458,Roper Technologies,"('Roper Technologies Inc', 100)"
25459,"Rochester, NH Bond",
25460,"Portland, ME Water District",
25461,NYC NY TRANSITION SR E 64971QCT8,
25462,New Hampshire MUND BD BK,
25463,Minnesota State SR A Bond,
25464,Minnesota State CUSIP Bond,
25465,Dunkin' Brands,"(""Dunkin' Brands Group Inc"", 100)"
25466,"Charleston County, SC School Bond",
25467,Billings MT Bond,
25468,Bangor Savings Bank NOW Accounts,
25469,Honeywell Inc,"('Honeywell Inc', 100)"
25470,Charles Schwab,
25471,Aon plc,
25472,Accenture PLC,"('Accenture PLC', 100)"
25473,"St Petersburg, Florida, Condo, Rental Real Estate",
25474,ST of WA GO SR E,
25475,Maryland Dept Trans Revenue BE Bond,
25476,Bulloch County GA SCH,
25477,BlackRock Mid-Cap Growth Equity Fund,
25478,Tom's Federal Thrift Savings Plan,
25479,Strategic Communications,
25480,Political Campaign Consulting Co,
25481,"Personal Residence/Moore, OK",
25482,Midfirst Bank Money Market,
25483,Fidelity Municipal Income Fund,
25484,Vanguard Inflation Protection Fund,
25485,Burke & Herbert Bank Money Market,
25486,Vankemp Common Stock Fund,
25487,Tom Cole's Annuity State Farm Insurance Annuity,"('State Farm Insurance', 100)"
25488,T Rowe Price Balanced Fund,
25489,Strong Government Securities Fund,
25490,Oppenheimer Main Street Fund,
25491,Lord Abbett Core Fixed Income Fund,
25492,Franklin Small Mid Cap Fund,
25493,Franklin MSF Mutual Share Fund,
25494,Franklin Balance Stock Investment Fund,
25495,Ellen Cole's Annuity State Farm Insurance Annuity,"('State Farm Insurance', 100)"
25496,Dreyfus Premium Leader Fund,
25497,Credit Suisse Capital Appreciation Fund,
25498,BGI SDP Stock Fund,
25499,"10 Acres of land/Johnson County, OK",
25500,Tronox Ltd,"('Tronox Ltd', 100)"
25501,"Cole, Hargrave et al",
25502,Fidelity Spartan Money Market,
25503,Fidelity Select Healthcare Fund,
25504,Fidelity Select Financial Services Fund,
25505,State Farm Insurance Annuity,"('State Farm Insurance', 100)"
25506,Van Kampen Common Stock Fund,
25507,"Land 10 acres/Johnson County, OK",
25508,Tronox Inc,
25509,Vanguard High Yield Tax-Exempt Fund,
25510,Fidelity VIP Individual Freedom Annuity,
25511,Alliant Corp,"('Pliant Corp', 91)"
25512,Strategic Communications (Moore),
25513,"Cole, Hargrave & Snodgrass",
25514,Walgreens,"('Walgreens Boots Alliance Inc', 100)"
25515,Oppenheimer Global Value Fund,
25516,Mainstay VP Capital Approach Fund,
25517,Fidelity VIP Individual Freedom 2020,
25518,Fidelity Spartan Municipal Income Fund,
25519,Kerr McGee,
25520,Franklin Balance Sheet Fund,
25521,Fidelity Select Health Care Fund,
25522,American Century Global Growth Fund,
25523,American Century Balanced Fund,
25524,Mainstay VP Growth Equity Fund,
25525,T Rowe Price Balance Fund,
25526,Mainstay VP Value Fund,
25527,Mainstay VP Index Equity Fund,
25528,Mainstay VP Equity Index,
25529,Mainstay VP Capital Appreciation Fund,
25530,Lord Abbott Core Fixed Income Fund,
25531,Janus Worldwide Growth Fund,
25532,Fidelity Ginnie Mae Fund,
25533,Fidelity Diversfield International Fund,
25534,Fidelity Capital Income Fund,
25535,Dreyfus Premier Leader A Fund,
25536,Alger American Small Capital Fund,
25537,Fidelity VIP Individual Freedom 2020 Fnd,
25538,F Fund,
25539,Vankemp Common Stock Fund A,
25540,Fidelity Mortgage Securities Fund,
25541,Invesco Technology Fund,
25542,Invesco Dynamics Fund,
25543,Insurance/Annuity,
25544,Insurance Annuity,
25545,Fidelity Select Health Fund,
25546,Fidelity Diversified Growth Fund,
25547,Columbia Acorn 12 Fund,
25548,AIM Large Cap Growth Fund,
25549,Great Plains Airline,
25550,Fidelity Total Bond Index Fund,
25551,Sate Farm Insurance Annuity,
25552,Personal Residence,
25553,Mid First Money Market Fund,
25554,Burke & Herbert/Money Market Fund,
25555,Franklin Small/Med Cap Fund,
25556,"10 Acres of land in Johnson County, Owned with Bro",
25557,Fidelity Muni Income Fund,
25558,Annuity Fidelity VIP Individual Freedom,
25559,Ellen Cole's Fidelity IRA Fidelity Cash,
25560,S Fund,"('SHS Funds Inc', 100)"
25561,G Fund,
25562,I Fund,"('MI Fund Inc', 100)"
25563,Fidelity Dividend International Fund,
25564,"N2680 Buckholz Road/Ettrick, WI",
25565,"N2711 Buckholz Road/Ettrick, WI",
25566,"219 Pearl Street/La Crosse, WI",
25567,Coulee State Bank Accounts,
25568,Altra Credit Union,
25569,Mass Investors 6-8 Year Fund,
25570,Oakmark Select Roth IRA,
25571,Oakmark Select IRA,
25572,Janus Growth & Income Fund,
25573,Janus Mercury Education,
25574,"5 Buckhotz Road/Ettrick, WI",
25575,Wisconsin Deferred Compensation Fund,
25576,"213 Pearl Street/LaCrosse, WI",
25577,Wisconsin Deferred Compensation Program,
25578,Massachusetts Investors,
25579,Fidelity Wisconsin EdVest 529 Plan,
25580,Putnam Mutual Fund,
25581,Putnam INU,
25582,Oakmart Select,
25583,Janus Mercury Education IRA,
25584,Janus Balanced Fund/IRA,
25585,Wisconsin EdVest 529 Plan Fidelity,
25586,"219 Pearl Street/LaCrosse, WI",
25587,Mass Investors,
25588,"N2711 Buckholz Rd/Ettrick, WI",
25589,"N2680 Buckholz Rd/Ettrick, WI",
25590,WI EdVest 529 Plan Fidelity Aggressive Portfolio,
25591,WI EdVest 529 Plan 2 Fidelity Aggressive Portfolio,
25592,"219 Pearl St/La Crosse, WI",
25593,North Carolina 529 (II),
25594,North Carolina 529,
25595,Janus Global Tech Mutual Fund,
25596,Janus Balanced Fund - IRA,
25597,Janus Research IRA Janus Research Fund,
25598,Altura Credit Union,
25599,"Rental Property/Ettrick, WI",
25600,Sout Thrift Plan,
25601,"Rental Property/Lacrosse, WI",
25602,WI Ed Vest,
25603,Oak Mate G Income,
25604,Oak Mart Select Roth IRA,
25605,Moss Investors,
25606,James Mutual Fund,
25607,Janus Education IRA,
25608,James Ed IRA,
25609,Fidelity Aggressive Portfolio,
25610,Mass Investors 6-8 Year Fund - Education,
25611,"3057 Hunrichs Way/San Diego, CA",
25612,"1426 G St SE/Washington, DC",
25613,Fidelity Destiny,
25614,Templeton Global Bond Adv,
25615,Fidelity Destiny I,
25616,Washington Public Employ Retirement Sys,
25617,Washington Def Comp Active US Corp Stk,
25618,Active US Value Stock Fund,
25619,Washington Deferred Comp Bond Fund,
25620,streetTRACKS DJ Wilshire REIT ETF Fund,
25621,iShares S&P Mid Cap 400 Fund,
25622,Barclays I Path Index AIGCOMM,
25623,Washington State Dept of Retirement,
25624,Street Tracks/Wishire RWR,
25625,iShares TIP,"('iShares TIPS Bond ETF', 100)"
25626,iShares IVV,
25627,iShares IJR,
25628,iShares IJH,
25629,iShares EFA,
25630,iShares AGG,
25631,Fidelity Independence Fund,
25632,AGE Funds Government Obligations Fund,
25633,"Rental Property/San Diego, CA",
25634,Traditional Thornburg Income Builder,
25635,Traditional Templeton Global Bond Adv,
25636,Traditional Ivy Asset Strategy,
25637,Traditional First Eagle Global,
25638,Thornburg Investment Income Builder Fund,
25639,Roth American Funds Fundamental Investors,
25640,American Funds Fundamental Invstments,
25641,Roth Thornburg Income Builders Fund,
25642,Roth Templeton Global Bond Adv,
25643,Roth First Eagle Global Fund,
25644,Roth American Funds New World,
25645,Ivy Asset Strategy,
25646,First Eagle Global Inc Fund,
25647,Lord Abbett Value Opportunities Fund,
25648,Thornburg Income Builder Fund,
25649,Natixis ASG Managed Futures,
25650,Thornburg Global Opportunities Fund,
25651,American Funds ROTH IRA,
25652,Streettracks DJ Wilshire REIT ETF,
25653,iShares Small Cap 600 Index,
25654,iShares DJ US Utils Sector Index,
25655,Barclays I Path Index,
25656,AG Edwards Sector SPDR SBI Technology,
25657,AG Edwards Sector SPDR SBI Industrial,
25658,AG Edwards Sector SPDR SBI Financial,
25659,AG Edwards Sector SPDR SBI Energy,
25660,AG Edwards Sector SPDR SBI Consumer,
25661,AG Edwards Sector SPDR Health Care,
25662,AG Edwards Sector SPDR Consumer Staples,
25663,AG Edwards Govt Obligations Fund,
25664,Wells Fargo Bank Deposit Sweep Cash,
25665,Bank Deposit Sweep Wells Fargo Bank FD,
25666,Washington Dept of Retirement Systems,
25667,WR Advisors Vanguard,
25668,WR Advisors Small Cap Fund,
25669,WR Advisors New Concepts Fund,
25670,WR Advisors International Growth,
25671,WR Advisors Core Investment Fund,
25672,"Land/40 Acres/Canyon County, ID",
25673,"Land/40 Acres/Ada County, ID",
25674,"Farm & Ranch/24 Acres/Canyon County, ID",
25675,Land/180 Acres,
25676,Sage Meadow Ranch,
25677,Capital City Management LLC,
25678,American Trailer Sales Co,
25679,"Risch, Goss et al",
25680,Risch for Lt Governor Cmte,
25681,Office Building/407 W Jefferson/Boise,
25682,JR & JR Properties,
25683,American Trailer Sales,
25684,"Investment Real Property/Arapahoe, CO",
25685,"Investment Real Property P/Boise, ID",
25686,"Investment Real Property H/Boise, ID",
25687,"Investment Real Property 12/Boise, ID",
25688,Idaho Independent Bank Account 554,
25689,T Rowe Price Extended Equity Market Indx,
25690,State of Idaho Deferred Comp Program,
25691,PERSI Total Return Fund,
25692,PERSI Choice Plan Retirement Fund,
25693,Note Owed By Helen Choborda,
25694,Waddell & Reed High Income Fund,
25695,US Bank Account 30,
25696,US Bank Account 04,
25697,T Rowe Price Opportunity Fund,
25698,T Rowe Price Financial Services Fund,
25699,T Rowe Price Dividend Growth Fund,
25700,Mellon Wilshire 5000 Index,
25701,Jim Risch for US Senate,
25702,"Investment Real Property/Twin Falls, ID",
25703,US Bank Account 15,
25704,SEI Stable Assets Fund,
25705,Idaho Independent Bank Account 254,
25706,Fidelity Asset Manager 85% Fund,
25707,Embarcadero Small Cap Growth Fund,
25708,US Bank Account 25,
25709,Nationwide Fixed Fund,
25710,"40+ Acres Land/Canyon County, Idaho",
25711,"40+ Acres Land/Ada County, Idaho",
25712,"24+ Acres Land/Canyon County, Idaho",
25713,"180+ Acres Land/Ada County, Idaho",
25714,Sage Meadow Ranch Inc,
25715,Rusch for Lt Gov Committee Notes,
25716,"Office Building/407 Jefferson St/Bosie,",
25717,"Real Property/Arapahoe County, ID",
25718,"Real Property P/200 N. Pond/Boise, ID",
25719,"Real Property H/510 Hays St./Boise, ID",
25720,"Real Property 12/1308 N 12th St/Boise,ID",
25721,Persi Choice Plan Retirement Fund,
25722,US Bank/Account 04,
25723,Persi Short Term Investment Portfolio,
25724,Waddell & Reed High Income Y Fund,
25725,T Rowe Price US Treasury Money Fund,
25726,"Real Property/Twin Falls County, ID",
25727,Nationwide Fixed Income Fund,
25728,Tanaka Growth Fund,
25729,T Rowe Price Extended Equity Market Ind,
25730,US Bank/Account 30,
25731,US Bank/Account 25,
25732,US Bank/Account 15,
25733,T Rowe Price Small Capital Stock Fund,
25734,Mellon US Equity Market Index,
25735,Mellon Aggregate Bond Index Fund,
25736,Invesco Van Kampen Growth & Income Fund,
25737,Brandes Institutional International Fund,
25738,Idaho Independent Bank/Account,
25739,40 Acres Land/Canyon County,
25740,40 Acres Land/Ada County,
25741,"24 Acres Land/Canyon County, ID",
25742,160 Acres Land/Ada County,
25743,Pioneer 1031 Co/Checking,
25744,Condominium 1207 Washington,
25745,Risch for Lt Gov Cmte Result,
25746,Office Building Located at 407 West Jefferson Stre,
25747,JR & JR Properties LLC,
25748,T Rowe Price Summit Cash Reserve,
25749,"Real Property P/Boise, ID 200 N Pond",
25750,PERSI Choice Plan,
25751,State of Idaho Deferred Comp Prog Retirement Fun,
25752,PERSI Short Term Investment Portfolio,
25753,Waddell & Reed High-Income Y,
25754,"US Bank Account **79(Boise, ID)/Checking",
25755,"US Bank Account **04(Boise, ID)/Checking",
25756,T Rowe Price Merging Markets Stock Fund,
25757,E*Trade Financial/All cash,
25758,"US Bank Account **25(Boise, ID)/Checking",
25759,"US Bank Account **15(Boise, ID)/Checking",
25760,"Real Property H/Boise, ID 510 Hays St",
25761,"Real Property 12/Boise, ID",
25762,"Investment Real Property/Twin Falls County, ID",
25763,"Investment Real Property/Arapahoe County, CO",
25764,Idaho Independent Bank Account,
25765,Condominium 1206 Washington,
25766,"Land/40 acres/Canyon County, ID",
25767,"Land/40 acres/Ada County, ID",
25768,"Land/24 acres/Canyon County, ID",
25769,"Land/180 acres/Ada County, ID",
25770,Investment Real Property,
25771,Investment Real Property P,
25772,Investment Real Property H,
25773,Investment Real Property 12,
25774,PERSI Choise Plan- Retirement Fund,
25775,Idaho Independent Bank account **554,
25776,Idaho Deffered Compensation Program,
25777,Mellon Aggregate Bond Index,
25778,Invesco Van Kampen Growth & Income A F,
25779,Embarcadero Small-Cap Growth Fund,
25780,American Century Small-Cap Value Fund,
25781,SEI Stabel Asset Fund,
25782,Idaho Independent Bank account **254,
25783,"Farm & Ranch/40 Acres/Canyon County, ID",
25784,"Farm & Ranch/40 Acres/Ada County, ID",
25785,Risch Goss Insinger Gustavel Law Firm,
25786,"Land/160 acres/Ada County, ID",
25787,Sage Meadows Ranch Inc,
25788,"Investment Real Property/Boise, ID",
25789,Risch for Lt Governor Cmte (Campaign Ln),
25790,R&G Properties,
25791,Office building/407 W Jefferson/Boise,
25792,Idaho Deferred Compensation Program,
25793,T Rowe Price Extended Equity Market Fund,
25794,T Rowe Price US Bond Index,
25795,SEI Stable Value Fund,
25796,VanWagoner Growth Opportunities Fund,
25797,VanWagoner Emerging Growth Fund,
25798,US Bank Account 41,
25799,E*Trade Financial Account,
25800,First Security Bank Account,
25801,160 Acres Land Ada County,
25802,Capital City Management LLC - Real Estate Holding,
25803,Agricultural & Commercial Real Property,
25804,US Bank Account Checking,
25805,Waddell & Reed High-Income Fund,
25806,E Trade Financial/All cash,
25807,Pioneer 1031 Co Checking,
25808,"40+ Acres-Land/Ada County, ID",
25809,"24+ Acres-Land/Canyon County, ID",
25810,"Farm & Ranch/180 Acres/Ada County, ID",
25811,State of Idaho Deffered Comp Program,
25812,"Office Building/Boise, ID",
25813,"Investment Real Property O/Boise, ID",
25814,Persi Cholco Plan-Retirement Fund,
25815,SEI Stabel Assets Fund,
25816,US Bank Account/Checking,
25817,T Rowe Price/Merging Markets Stock Fund,
25818,Idaho Independent Bank Account **554,
25819,Idaho Independent Bank Account **254,
25820,"40 Acres Land/Canyon County, ID",
25821,"40 Acres Land/Ada County, ID",
25822,"20 Acres Land/Canyon County, ID",
25823,"180 Acres Land/Ada County, ID",
25824,T Rowe Price Extended Equity Mkt Index,
25825,Idaho Independent Bank Account 54,
25826,Confluence Commons,
25827,Jared Polis Qualified Blind Trust,
25828,"Personal Residence/McLean, VA",
25829,Licensed Retirement Housing,
25830,Bridgehealth Medical,
25831,Gunpark Property LP,
25832,K-Colorado LLC,
25833,AIP Japan Fund V (Senior Housing) LP,
25834,Florida Real Estate Value Fund LP,
25835,AIP Japan Recovery Fund IV LP,
25836,"Vail Valley Dr/Vail, CO",
25837,Symbius Medical,
25838,SPS Studios,
25839,Proshares Ultrashort Lehman 7-10 year,
25840,Pine 3-J Trust* Bway Property LP,
25841,Pine 3-J Trust,
25842,Personal residences/Wells Fargo Checkin,
25843,Ocean Farm Technologies,
25844,Oberon FMR,
25845,K-New York Trust Personal Residences,
25846,"Gunpark Drive/Boulder, CO",
25847,GE-1-1V-9 (Yasuragi) 3 Licensed Retireme,
25848,GE-1-1V-8 (Suite) Licensed Retirement Ho,
25849,GE J-IV-7/Villa 2,
25850,Aquacopia Ventures I LP Open Blue Sea,
25851,Aquacopia Ventures I LP,
25852,"1827 Grant St/Denver, CO",
25853,Networking Research Group,
25854,Bow River Capital Fund IV LP,
25855,Yasuragi 2 Real estate/Japan,
25856,Uber Inc,
25857,Terq Property LP,
25858,Super Real estate/Japan,
25859,Powershares TR Dynamic Lrg Cap Val Port,
25860,Platu Property LP,
25861,K-New York Trust #3,
25862,GE J-IV-6/Villa,
25863,Baird Capital Partners IV LP,
25864,Agriculture Land/PT E2NE4 29-4-68 Lot,
25865,"#6 New York, New York",
25866,"#4 New York, New York",
25867,Western Residential Opportunity Fund LLC,
25868,Bow River Capital 2011 QP Fund LP,
25869,Centre Capital Investors III LP,
25870,Preferred Deposit Bank of America NA,
25871,Wood Real estate/Japan,
25872,Sierra Grande Holdings LLC,
25873,Pine Property LP,
25874,PHHC Investor LLC,
25875,HB Investor LLC,
25876,Goldman Sachs Mezzanine Partners 2006 LP,
25877,Futuna Blue Aps,
25878,Credit Suisse Commodity Rtn Str Fund,
25879,Court-2 Real estate/Japan,
25880,Court-1 Real estate/Japan,
25881,"29th Street/Boulder, CO",
25882,Simple Energy Inc,
25883,SendGrid Inc,
25884,Techstars Boulder 2011 LLC,
25885,January Studios LLC,
25886,FullContact Inc,
25887,Next Big Sound Inc,
25888,Citizen Stock LLC,
25889,Bow River Capital Fund II LP,
25890,Bullet Time Ventures II LP,
25891,VWR International,"('VWR International Inc', 100)"
25892,Scollard Energy,
25893,Ortho-MedPlast Holdings,
25894,Orbotix Inc Smartphone gaming,
25895,Occipital,
25896,Merrill Lynch BBIF Money Fund Class 3,
25897,Meadowlark Single family Lots,
25898,Litchfield Farms Holdings,
25899,Lighter Capital Inc,
25900,Jovian P4 LLC,
25901,Jones Scones Inc,
25902,HPT Holdings LLC,
25903,Gearbox Inc,
25904,Focus Investments Holdings,
25905,European JPY Put/USD,
25906,Ely & Assoc,
25907,Elcano Exploration,
25908,Daily Inches Inc,
25909,Centre Palisades Qualified Investors LP,
25910,Bullet Time Ventures,
25911,Boynton Waters Fund Holdings LLC,
25912,BCP MedData Holdings,
25913,AUC Investor LLC,
25914,Mocavo Inc,
25915,PivotDesk Inc,
25916,Moveline Group,
25917,Techstars NYC 2014 LLC,
25918,Deutsche Banc Alex Brown Special Opp Fnd,
25919,William Blair New World Ventures LP,
25920,William Blair New World Ventures Fund,
25921,Twilio Inc,"('Twilio Inc', 100)"
25922,Techstars LLC,
25923,SK Ventures I LP* Investments in early-s,
25924,Roximity Inc,
25925,Robert W Baird & Co Account,
25926,Rainmaker Technologies,
25927,MobiPlug Network (Revolv),
25928,Kobelt Manufacturing Co,
25929,Kettle Partners LP II,
25930,FIA Card Services NA RASP,
25931,Digital Ocean Inc,
25932,CrowdTwist Inc,
25933,CooCoo SMS Inc,
25934,Conversion Innovations Inc,
25935,Contently Inc,
25936,Cirque Resources LP & Moondance Minerals,
25937,Belli Ella (GoSpotCheck),
25938,American Auto Auction Group,
25939,Adstruc LLC,
25940,Jovian Capital Holdings,
25941,Eden House,
25942,Ubooly Inc,
25943,TriggerMail Inc,
25944,Techstars NYC 2011,
25945,Techstars 2009 LLC,
25946,RoundPegg Inc,
25947,Lex Energy Partners LP II,
25948,LeChat Inc,
25949,Chat ID Holdings,
25950,AdYapper Inc,
25951,SynchroPET Inc,
