samples,ratio,partial_ratio,token_sort_ratio,partial_token_sort_ratio,token_set_ratio,UWRatio
williamson county tn bond,"('williams controls inc', 65)","('seton co', 75)","('williams & co inc', 65)","('brown co', 75)","('williams & co inc', 65)","('vaneck vectors emerging markets high yield bond etf', 86)"
"henrico cnty, va public improvement oid","('arizona public service co', 56)","('improvenet inc', 79)","('public co management corp', 57)","('improvenet inc', 79)","('public storage', 60)","('american public energy co', 86)"
trump marks real estate llc,"('rmr asia real estate fund', 69)","('claymore exchange-traded fund trust 2 - guggenheim emerging markets real estate etf', 74)","('palmetto real estate trust', 68)","('muzak llc', 78)","('b.b. real estate invt', 76)","('cole real estate income strategy (daily nav) inc', 86)"
mid cap growth stock,"('vanguard mid-cap growth etf', 68)","('nushares esg mid-cap growth etf', 84)","('cgrowth capital inc', 67)","('spdr s&p 400 mid cap growth etf', 75)","('janus henderson small/mid cap growth alpha etf', 82)","('cap ltd', 86)"
sterling select mid cap growth mutual fund,"('first trust mid cap growth alphadex fund', 68)","('sterling electronics', 75)","('seligman select municipal fund inc.', 63)","('sterling inc', 83)","('sterling inc', 80)","('alterman investment fund', 86)"
"806 mystic dr 310/cape canaveral, fl","('majestic capital ltd', 46)","('asi', 67)","('nyse arca tech 100 etf', 53)","('cap ltd', 71)","('nyse arca tech 100 etf', 53)","('american savings/fl fsb', 86)"
nuveen municipal trust high yield municipal bond f,"('spdr nuveen s&p high yield municipal bond etf', 76)","('invesco municipal trust', 83)","('spdr nuveen s&p high yield municipal bond etf', 76)","('entrust inc', 82)","('mfs high yield municipal trust', 93)","('api trust', 86)"
nuveen performance plus municip,"('nuveen performance plus municipal fund inc.', 85)","('nuveen performance plus municipal fund inc.', 100)","('nuveen performance plus municipal fund inc.', 85)","('nuveen performance plus municipal fund inc.', 94)","('nuveen performance plus municipal fund inc.', 85)","('care plus inc', 86)"
man-ahl diversified i class d,"('vanguard diversified inc', 68)","('mei diversified inc', 79)","('compass diversified holdings', 67)","('diversified media inc', 84)","('mei diversified inc', 73)","('a i m cos', 86)"
lake wylie plaza assoc,"('legal life plans inc', 57)","('asi', 67)","('lakelands racing association', 56)","('asi', 67)","('lakelands racing association', 56)","('pittsburgh & lake erie real estate co', 86)"
security title guaranty,"('security national bank', 67)","('security capital atlantic inc', 74)","('guaranty trust inc', 63)","('rsa security inc', 69)","('fidelity & guaranty life', 71)","('burns international security service', 86)"
allnz nfj small cap value,"('vanguard small-cap value etf', 68)","('sm&a', 75)","('vanguard small-cap value etf', 64)","('sm&a', 75)","('gabelli global small and mid cap value trust (the)', 75)","('cap ltd', 86)"
kitsy lane inc,"('lucky lanes inc', 76)","('neg inc', 92)","('sylvan inc', 75)","('wits inc', 88)","('lane co inc', 84)","('a & e plastik pak inc', 86)"
mercantile growth & income fund,"('boulder growth & income fund inc.', 73)","('advent/claymore enhanced growth & income fund', 81)","('india growth fund inc', 72)","('hp inc', 83)","('ellsworth growth and income fund ltd', 77)","('invesco bond fund', 86)"
northcrest mortgage inc,"('northeast mortgage corp', 83)","('sage inc', 88)","('northeast mortgage corp', 83)","('northeastern mortgage co inc', 91)","('cfi mortgage inc', 86)","('aec inc', 86)"
t rowe price instl emerging markets eq,"('ishares msci emerging markets etf', 68)","('price co', 75)","('first trust riverfront dynamic emerging markets etf', 67)","('rice food markets inc', 76)","('price co', 77)","('a i t s inc', 86)"
thornberg int value,"('tornier nv', 62)","('ngtv', 75)","('value line inc', 67)","('thorn apple valley inc', 74)","('value line inc', 67)","('cornerstone strategic value fund inc.', 86)"
25 acres of unimproved land/beachlake,"('citrus county land bureau', 52)","('esd co', 67)","('grand prix assn long beach', 54)","(""land o'lakes inc."", 75)","('grand prix assn long beach', 54)","('american land co', 86)"
central coast water auth bond,"('central coast bancorp', 64)","('central coast bancorp', 76)","('body central corp', 65)","('body central corp', 82)","('central coast bancorp', 76)","('invesco bond fund', 86)"
small & mid cap value fund,"('nushares esg mid-cap value etf', 68)","('gabelli global small and mid cap value trust (the)', 81)","('nushares esg mid-cap value etf', 67)","('direxion value line small- and mid-cap high dividend etf', 75)","('first trust small cap value alphadex fund', 91)","('invesco bond fund', 86)"
state street bank & trust sep ira,"('carter bank & trust', 65)","('carter bank & trust', 79)","('metairie bank & trust co', 64)","('state street corp', 82)","('state street corp', 83)","('api trust', 86)"
national life insurance policy,"('national old line insurance co', 80)","('republic national life insurance co', 89)","('republic national life insurance co', 86)","('national old line insurance co', 88)","('republic national life insurance co', 87)","('bell national corp', 86)"
marriott time share,"('computer aided time share', 64)","('itt inc', 71)","('computer aided time share', 68)","('host marriott services corp', 72)","('computer aided time share', 69)","('powershares china a-share portfolio', 86)"
hewitt: lifestyle/premix,"('equity lifestyle properties inc', 65)","('iemi', 75)","('equity lifestyle properties inc', 67)","('iemi', 75)","('lifestyle cos inc', 69)","('iemi', 68)"
goldman sachs trust gs inflation protect,"('goldman sachs group inc (the)', 65)","('utg inc', 71)","('goldman sachs group inc (the)', 63)","('protech inc', 82)","('goldman sachs bdc inc', 76)","('api trust', 86)"
usaa precious metals,"('a-mark precious metals inc', 78)","('u s precious metals inc/de', 90)","('u s precious metals inc/de', 74)","('etfs precious metals basket trust', 90)","('asa gold and precious metals ltd', 86)","('asa gold and precious metals ltd', 86)"
columbia mi sch,"('columbia corp', 71)","('columbia em str opps etf', 80)","('columbia corp', 71)","('columbia banking system inc', 80)","('columbia corp', 76)","('bank of commonwealth/mi', 86)"
kansas city life insurance,"('kansas city life insurance co', 95)","('kansas city life insurance co', 100)","('kansas city life insurance co', 95)","('kansas city life insurance co', 88)","('kansas city life insurance co', 100)","('kansas city life insurance co', 95)"
"386 susan constant/newport news, va","('banco santander sa', 53)","('nstar', 80)","('gulf exploration consultants', 55)","('nstar', 80)","('newport corp', 74)","('verizon inc/va', 86)"
axa equitable variable life insurance,"('reliable life insurance co', 70)","('reliable life insurance co', 86)","('reliable life insurance co', 70)","('reliable life insurance co', 85)","('pekin life insurance co', 76)","('cci life systems inc', 86)"
port authority of  ny & nj cons,"('sports authority inc. (the)-old', 68)","('s & m co', 75)","('sports authority inc. (the)-old', 64)","('cns inc', 71)","('sports authority inc. (the)-old', 64)","('bank of hawaii corp', 86)"
putman college advantage 2001,"('morgan stanley high income advantage trust', 54)","('mwa co', 83)","('advantage life products', 62)","('advanta corp', 83)","('advantage cos inc', 69)","('college-town inc', 86)"
federal farm credit bank discount notes,"('franklin discount co', 58)","('citybank', 75)","('israel discount bank ltd.', 60)","('bdm federal', 82)","('bdm federal', 78)","('aetna business credit inc', 86)"
taylor capital gp inc,"('taylor capital group inc', 93)","('gap inc', 86)","('taylor capital group inc', 93)","('gap inc', 86)","('taylor capital group inc', 93)","('taylor capital group inc', 93)"
gartmore us growth,"('calamos focus growth etf', 62)","('calamos focus growth etf', 72)","('arbor property trust', 58)","('armour & co', 67)","('calamos focus growth etf', 67)","('horizons us equity managed risk etf', 86)"
salem va municipal bond,"('eaton vance municipal bond fund', 70)","('eaton vance pennsylvania municipal bond fund', 83)","('putnam municipal bond fund', 69)","('blackrock virginia municipal bond trust', 78)","('dreyfus strategic municipal bond fund inc.', 76)","('vaneck vectors emerging markets high yield bond etf', 86)"
rare elements res,"('rare element resources ltd', 74)","('rare element resources ltd', 94)","('rare element resources ltd', 74)","('rare element resources ltd', 76)","('rare element resources ltd', 74)","('environmental elements corp', 86)"
occidental pet,"('occidental petroleum corp', 72)","('occidental petroleum corp', 100)","('occidental petroleum corp', 72)","('occidental petroleum corp', 100)","('occidental petroleum corp', 83)","('occidental petroleum corp', 90)"
deutsche bank ag-london branch linked to s&p 500 i,"('deutsche global high income fund inc', 51)","('deutsche bank ag', 100)","('smith barney disciplined fund', 51)","('deutsche bank ag', 81)","('deutsche bank ag', 100)","('deutsche bank ag', 90)"
53880 pine grove lapine,"('alpine group inc', 56)","('8x8 inc', 71)","('grove press inc', 58)","('psinet inc', 78)","('grove press inc', 58)","('grove foods inc', 86)"
old abe capital/commercial bldg 39,"('allied capital commercial corp', 69)","('tls co', 83)","('allied capital commercial corp', 75)","('allied capital commercial corp', 80)","('source capital-old', 76)","('acton corp-old', 86)"
potashcorp,"('potlatch corp', 78)","('potash corporation of saskatchewan inc', 90)","('phlcorp', 71)","('uscorp', 83)","('phlcorp', 71)","('potash corporation of saskatchewan inc', 81)"
wright putman credit union,"('highlands reit inc', 59)","('tma co', 83)","('thl credit senior loan fund', 60)","('transunion', 80)","('union corp', 67)","('american credit', 86)"
westbrook partners real estate fund viii,"('dws rreef real estate fund ii', 72)","('brooke partners lp', 83)","('rmr real estate income fund', 63)","('partnerre ltd', 85)","('rmr asia real estate fund', 78)","('alterman investment fund', 86)"
2.41 acres hwy 145 s/booneville ms,"('dalton (b) bookseller inc', 44)","('noxell', 67)","('macroshares 100 oil up shares', 48)","('noxell', 67)","('acres gaming inc', 48)","('a i t s inc', 86)"
alabama state bond,"('alabama gas corp', 65)","('alabama gas corp', 69)","('alabama by-products', 65)","('e.on se', 71)","('alabama by-products', 65)","('all state properties holdings inc', 86)"
blackrock mid cap value equity fund,"('blackrock muniyield investment quality fund', 69)","('blackrock inc', 85)","('blackrock enhanced equity yield fund inc', 72)","('blackrock inc', 85)","('blackrock inc', 82)","('invesco bond fund', 86)"
clayton etf trust,"('horizons etf trust', 69)","('elevation etf trust summit water etf', 82)","('lexington realty trust', 67)","('new plan excel realty trust inc.', 71)","('clayton corp', 74)","('api trust', 86)"
education first bank account,"('community first banking co', 63)","('first bank', 100)","('china education inc', 64)","('educate inc', 73)","('first bank', 100)","('first bank', 90)"
new china investment management,"('pzena investment management inc', 81)","('hia inc', 86)","('pzena investment management inc', 84)","('hia inc', 86)","('pzena investment management inc', 84)","('alltel new york inc', 86)"
casper mountain land,"('gander mountain inc', 72)","('silver mountain lead mines', 80)","('gander mountain co', 74)","('gander mountain co', 76)","('gander mountain co', 74)","('de anza land & leisure corp-old', 86)"
"land 300 acres/sonoita, az","('landcare usa inc', 52)","('esd co', 67)","('masland (c.h.) & sons', 54)","('sonosite inc', 70)","('financial land corp', 55)","('american land co', 86)"
japan partners,"('permian partners lp', 73)","('coca-cola european partners plc', 86)","('arcadian partners lp', 71)","('coca-cola european partners plc', 86)","('maxum energy logistics partners lp', 73)","('maxum energy logistics partners lp', 86)"
level 3 communications,"('level 3 communications inc', 92)","('level 3 communications inc', 100)","('level 3 communications inc', 92)","('rsl communications', 89)","('level 3 communications inc', 100)","('level 3 communications inc', 95)"
401k /vanguard institutional index,"('vanguard total international bond etf', 62)","('institutional investors/de', 80)","('institutional investors/de', 64)","('ifex inc', 75)","('institutional investors/de', 67)","('american vanguard corp', 86)"
florida brd ed lottery ser 2010a,"('florida gulf realty trust', 53)","('florida cos', 73)","('sooner defense of florida', 56)","('florida cos', 73)","('florida cos', 78)","('florida capital corp', 86)"
brown advisory opportunity fund,"('pimco income opportunity fund', 70)","('first opportunity fund inc', 79)","('first opportunity fund inc', 67)","('brown co', 75)","('brown co', 77)","('invesco bond fund', 86)"
indymac bank,"('indymac bancorp inc.', 71)","('indymac bancorp inc.', 92)","('indymac bancorp inc.', 71)","('baybanks inc', 76)","('indymac bancorp inc.', 74)","('american bank note co', 86)"
onix corp,"('fonix corp', 95)","('eikonix corp', 100)","('fonix corp', 95)","('american monitor corp', 89)","('fonix corp', 95)","('fonix corp', 95)"
non-ira brokerage - all bern equity inco,"('liberty all star equity fund', 56)","('itt inc', 86)","('aberdeen latin america equity fund inc', 61)","('imt inc', 86)","('inco ltd', 67)","('all american burger inc', 86)"
baron asset growth fund,"('americas growth fund inc', 68)","('schroder asian growth fund inc', 74)","('western asset premier bond fund', 67)","('wisdomtree western asset unconstrained bond fund', 74)","('india growth fund inc', 69)","('bird fund inc', 86)"
magic lantern group,"('magic lantern group inc.', 90)","('magic lantern group inc.', 100)","('magic lantern group inc.', 90)","('lante corp', 80)","('magic lantern group inc.', 100)","('magic lantern group inc.', 95)"
loan/island & coastal innovation fund l,"('japan smaller capitalization fund inc.', 61)","('costa inc', 78)","('ossen innovation co ltd', 63)","('ark innovation etf', 78)","('ark innovation etf', 71)","('a l d inc', 86)"
conexant systems,"('conexant systems inc', 89)","('sys', 100)","('conexant systems inc', 89)","('sys', 100)","('conexant systems inc', 100)","('conexant systems inc', 95)"
ecotimber inc,"('ciber inc.', 82)","('ciber inc.', 89)","('ciber inc.', 82)","('ciber inc.', 89)","('ciber inc.', 82)","('a & e plastik pak inc', 86)"
connecticut mutual contrafund,"('connecticut energy corp', 62)","('magnetic metals co', 72)","('security-connecticut corp', 67)","('connetics corp', 79)","('security-connecticut corp', 67)","('first mutual inc', 86)"
loomis sayles ii strategic income fund,"('aim strategic income fund', 76)","('aim strategic income fund', 92)","('senior strategic income fund inc', 74)","('2 i inc', 86)","('aim strategic income fund', 91)","('alterman investment fund', 86)"
mid-ocean iii private investors,"('federated investors', 64)","('imprivata inc', 77)","('martek investors inc', 67)","('miw investors/wa', 81)","('mid ocean ltd', 82)","('amc investors inc', 86)"
scudder high yield fund,"('pacholder high yield fund inc', 77)","('pacholder high yield fund inc', 87)","('pacholder high yield fund inc', 77)","('credit suisse high yield bond fund', 84)","('high yield income fund inc. (the)', 79)","('vaneck vectors emerging markets high yield bond etf', 86)"
centurion fcu,"('centuri inc', 75)","('trion inc', 78)","('centuri inc', 75)","('key centurion bancshares', 77)","('key centurion bancshares', 82)","('key centurion bancshares', 86)"
926 inc,"('k2 inc.', 77)","('k2 inc.', 83)","('2u inc', 77)","('2u inc', 83)","('k2 inc.', 77)","('a & e plastik pak inc', 86)"
kensington strategic realty fund,"('cornerstone strategic return fund', 74)","('kennington ltd', 79)","('riverfront strategic income fund', 69)","('lexington realty trust', 82)","('cornerstone strategic return fund', 74)","('invesco bond fund', 86)"
cc media holdings,"('icon media holdings inc', 80)","('alliance media holdings inc', 94)","('crown media holdings inc', 78)","('american medical holdings', 88)","('ksix media holdings inc', 90)","('all state properties holdings inc', 86)"
lake michigan credit union,"('cable michigan inc', 64)","('american credit', 80)","('michigan national corp', 67)","('union bank', 80)","('michigan sugar', 73)","('american credit', 86)"
legg mason partners equity fund,"('liberty all star equity fund', 64)","('legg mason inc', 79)","('kinder morgan energy partners lp', 63)","('legg mason inc', 86)","('legg mason inc', 83)","('invesco bond fund', 86)"
putnam income,"('team inc', 67)","('team inc', 88)","('omega optical inc', 67)","('putnam high income securities fund', 100)","('putnam high income securities fund', 100)","('national income realty trust', 86)"
pinnacle bank savings,"('pinnacle bancshares inc.', 73)","('pinnacle bankshares corp', 76)","('lincoln savings bank/pa', 77)","('palm springs savings bank fsb', 76)","('lincoln savings bank/pa', 77)","('bank one corp', 86)"
"north bergen township, nj muni","('northern states power co /mn', 59)","('begley co', 67)","('bergen brunswig corp', 57)","('now inc', 71)","('north american communication corp', 58)","('bergen brunswig corp', 86)"
massachusetts var cons loan bond,"('massachusetts electric co', 63)","('sm&a', 75)","('eaton vance massachusetts municipal bond fund', 68)","('brown co', 75)","('eaton vance massachusetts municipal bond fund', 72)","('invesco bond fund', 86)"
prime mc i,"('primerica inc', 70)","('prime capital corp', 80)","('prime air inc', 78)","('primerica inc', 80)","('prime air inc', 78)","('a i a industries inc', 86)"
westminster land cont/brandon certain,"('westminster capital inc.', 60)","('nstar', 80)","('national westminster bank plc', 67)","('nstar', 80)","('westminster corp', 81)","('american land co', 86)"
aim real estate fund,"('rmr asia real estate fund', 84)","('vanguard real estate fund ii', 90)","('rmr asia real estate fund', 84)","('rmr asia real estate fund', 90)","('aim select real estate income fund', 100)","('adams diversified equity fund inc', 86)"
progress residential access lp,"('oasis residential inc', 67)","('oasis residential inc', 81)","('american residential properties inc', 68)","('oasis residential inc', 76)","('equity residential', 76)","('access corp', 86)"
"326 west 4620/north, provo, ut","('j.g. wentworth co (the)', 50)","('porta-pro inc', 62)","('western co of north america', 51)","('outlet co', 67)","('west corp', 62)","('air west inc', 86)"
tbta bonds,"('crystal brands', 58)","('fidelity total bond etf', 80)","('crystal brands', 58)","('ishares ibonds sep 2018 term muni bond etf', 70)","('crystal brands', 58)","('fidelity total bond etf', 72)"
new york city g/o bonds,"('new york city shoes inc', 74)","('new york city shoes inc', 74)","('new york city shoes inc', 70)","('new york city shoes inc', 70)","('new york city shoes inc', 74)","('arrays inc-new', 86)"
equity growth,"('equity growth corp', 84)","('equity growth corp', 100)","('equity growth corp', 84)","('equity growth corp', 100)","('equity growth corp', 100)","('equity growth corp', 95)"
us senate federal credit union/checking,"('nuveen amt-free municipal credit income fund', 58)","('ctl credit inc', 79)","('charter federal savings bank', 57)","('bdm federal', 82)","('bdm federal', 78)","('aetna business credit inc', 86)"
american funds capital world mf,"('american capital corp-old', 75)","('amerco', 83)","('american capital corp-old', 75)","('american capital ltd', 85)","('american capital ltd', 89)","('acco world corp', 86)"
d3 family fund lp,"('united states oil fund lp', 62)","('mi fund inc', 73)","('fidelity advisor korea fund', 55)","('starlight us multi-family core fund', 82)","('starlight us multi-family core fund', 79)","('adams diversified equity fund inc', 86)"
akron ohio special assessment fsa,"('american hospital management corp', 58)","('eni spa', 71)","('morrison management specialists', 62)","('eni spa', 71)","('questar assessment inc', 62)","('duke energy ohio inc', 86)"
david cannon loan rec,"('david jamison carlyle corp', 60)","('aid inc', 71)","('parke davis & co', 63)","('asi', 67)","('parke davis & co', 63)","('cannon shoe co', 86)"
ovhs&e/pension,"('grove press inc', 62)","('resources pension shares i', 71)","('spansion inc', 62)","('asi', 67)","('resources pension shares i', 67)","('a & e plastik pak inc', 86)"
ln vip de special opp,"('union special corp', 67)","('ecal corp', 78)","('union special corp', 62)","('union special corp', 71)","('special opportunities fund inc', 63)","('de soto inc', 86)"
t rowe price gnma,"('t. rowe price group inc', 75)","('t. rowe price group inc', 82)","('t. rowe price group inc', 77)","('t. rowe price group inc', 82)","('t. rowe price group inc', 83)","('a i t s inc', 86)"
gamco west balanced aaa,"('metrowest bank/ma', 60)","('air west inc', 67)","('m & a west inc', 63)","('esd co', 83)","('balanced care corp', 63)","('air west inc', 86)"
note/deed of trust from s durgin,"('united software industries inc', 55)","('api trust', 67)","('mfs intermarket income trust i', 58)","('omp inc', 71)","('api trust', 71)","('a i t s inc', 86)"
"undeveloped property/greensboro, nc","('union property investors inc', 63)","('orco inc', 75)","('simon property group inc.', 59)","('propex inc', 80)","('irt property co', 70)","('eckerd drugs inc/nc', 86)"
first century bancshares,"('first century bankshares inc', 88)","('first century bankshares inc', 96)","('first century bankshares inc', 88)","('first century bankshares inc', 96)","('century bancshares inc', 90)","('first century bankshares inc', 88)"
goldman growth fund,"('india growth fund inc', 70)","('first trust energy income and growth fund', 84)","('gdl fund (the)', 65)","('wisdomtree global ex-us quality dividend growth fund', 79)","('goldman sachs mlp income opportunities fund', 77)","('adams diversified equity fund inc', 86)"
ira ameritrade money market,"('td ameritrade holding corp', 60)","('emcon', 80)","('market america inc', 67)","('aramark', 86)","('market america inc', 71)","('market facts inc', 86)"
ca 100% equity index,"('catuity inc', 58)","('genuity inc', 73)","('equity au inc', 69)","('equity au inc', 85)","('alps etf trust u.s. equity high volatility put write index fund', 77)","('adams diversified equity fund inc', 86)"
dfa emerging markets port institutional fund,"('wisdomtree emerging markets corporate bond fund', 68)","('flexshares morningstar emerging markets factor tilt index fund', 74)","('wisdomtree emerging markets local debt fund', 69)","('powershares fundamental emerging markets local debt portfolio', 75)","('emerging mexico fund', 79)","('alterman investment fund', 86)"
small bus admin gtd dev ptc ser 2009-20k,"('ishares target date 2010 etf', 47)","('sm&a', 75)","('spdr s&p 600 small cap growth etf', 52)","('sm&a', 75)","('ptc inc', 60)","('etf managers trust purefunds ise junior silver (small cap miners/explorers) etf', 86)"
sei fundamental value fund,"('templeton value fund', 65)","('vale sa', 71)","('united states metals index fund', 63)","('wisdomtree fundamental u.s. corporate bond fund', 77)","('wisdomtree fundamental u.s. corporate bond fund', 76)","('invesco bond fund', 86)"
ag edwards/savings,"('a.g. edwards inc.', 76)","('a.g. edwards inc.', 81)","('a.g. edwards inc.', 73)","('a.g. edwards inc.', 73)","('a.g. edwards inc.', 79)","('novaled ag', 86)"
townhouse 3025 cambridge place nw was,"('house of fabrics inc', 49)","('bet plc', 71)","('cambridge soundworks inc', 56)","('torm plc', 75)","('cambridge bancorp', 69)","('cambridge royalty co', 86)"
jpmorgan market neutral sel,"('quantshares u.s. market neutral size fund', 59)","('marketo inc', 73)","('quantshares u.s. market neutral value fund', 59)","('jpmorgan diversified return emerging markets equity etf', 76)","('iq hedge market neutral tracker etf', 68)","('market facts inc', 86)"
county of denton tx bond,"('community independent bank', 60)","('ttx co', 67)","('town and country trust (the)', 64)","('brown co', 75)","('town and country trust (the)', 64)","('vaneck vectors emerging markets high yield bond etf', 86)"
metro gov nashville & davidson county tn,"('nashville gas co', 54)","('seton co', 75)","('nashville gas co', 56)","('nashville area etf', 72)","('nashville gas co', 72)","('citrus county land bureau', 86)"
retirement amerfds fdamental invs (affn),"('retirement care assn inc', 60)","('genta inc', 78)","('retirement care assn inc', 65)","('genta inc', 78)","('retirement living inc', 65)","('retirement living inc', 86)"
people's united financial,"(""people's united financial inc"", 93)","(""people's united financial inc"", 100)","(""people's united financial inc"", 93)","(""people's united financial inc"", 84)","(""people's united financial inc"", 100)","(""people's united financial inc"", 95)"
bmw bank/cd (14),"('bryn mawr bank corp', 59)","('swank inc', 67)","('banks.com inc', 59)","('banks.com inc', 67)","('opus bank', 62)","('bank building & equipment corp of america', 86)"
"suntrust banks/cd, savings, stock, mm","('suntrust banks inc.', 65)","('suntrust banks inc.', 89)","('suntrust banks inc.', 69)","('suntrust banks inc.', 72)","('suntrust banks inc.', 88)","('american savings/fl fsb', 86)"
dreyfus ip technology growth,"('wayside technology group', 69)","('dsp technology inc', 78)","('art technology group inc', 69)","('dch technology inc', 80)","('pacer technology', 77)","('fox technology inc', 86)"
hong kong exc & clr,"('johnson (e.f.) co', 56)","('e.on se', 71)","('coltec holdings inc', 61)","('h & cb', 75)","('grand toys international ltd hong kong', 69)","('grand toys international ltd hong kong', 86)"
sheley sabach md,"('pebble beach corp', 55)","('tele2 ab', 75)","('usabancshares.com inc', 54)","('vesely co', 67)","('equitable bank/md', 55)","('pacific gateway properties inc/md', 86)"
eaton vance worldwide,"('eaton vance corp.', 76)","('eaton vance corp.', 88)","('emak worldwide inc', 77)","('worlds inc', 80)","('eaton vance corp.', 81)","('eaton corp plc', 86)"
alabama prepaid tuition plan,"('alabama aircraft industries inc', 58)","('paid inc', 75)","('alabama national bancorporation', 64)","('pepi inc', 75)","('alabama national bancorporation', 64)","('alabama gas corp', 86)"
nuveen investment funds inc real estate sec fund,"('nuveen real estate income fund', 64)","('nsi inc', 86)","('nuveen real estate income fund', 74)","('nuveen investments inc', 95)","('sr investment inc', 90)","('a & e plastik pak inc', 86)"
rydex sgi intermediate bond,"('ishares intermediate credit bond etf', 67)","('ishares intermediate credit bond etf', 74)","('vanguard intermediate-term bond etf', 68)","('intermec inc', 75)","('ishares intermediate credit bond etf', 77)","('invesco bond fund', 86)"
canaan llc,"('cardinal ethanol llc', 67)","('aon plc', 71)","('cardinal ethanol llc', 67)","('canadian piper air corp', 80)","('canaan energy corp', 75)","('burlington northern santa fe llc', 86)"
northern us govt select port,"('northern trust corp', 68)","('tekelec', 71)","('northern states power co /mn', 65)","('her imports', 82)","('northern states power co /mn', 65)","('us ecology inc', 86)"
"henrico county, va water sewer rev bond","('connecticut water service inc', 53)","('heico corp', 80)","('connecticut water service inc', 57)","('brown co', 75)","('connecticut water service inc', 57)","('invesco bond fund', 86)"
interface security holdings,"('castlerock security holdings inc', 75)","('interface inc', 85)","('seacor holdings inc', 74)","('castlerock security holdings inc', 88)","('interface inc', 82)","('aluf holdings inc', 86)"
smith educational center,"('american educational computer', 72)","('national dentex corp', 74)","('smith international inc.', 77)","('sm&a', 75)","('smith international inc.', 77)","('a. o. smith corp', 86)"
principal large cap value fund,"('wisdomtree largecap value fund', 70)","('allaire corp', 75)","('principal u.s. small cap index etf', 70)","('opal inc', 75)","('first trust large cap value alphadex fund', 80)","('invesco bond fund', 86)"
northern trust us govt money market,"('northern trust corp', 63)","('northern trust corp', 79)","('northern trust corp', 63)","('northern trust corp', 84)","('northern trust corp', 85)","('api trust', 86)"
t rowe price europe fund,"('t. rowe price group inc', 77)","('t. rowe price group inc', 78)","('t. rowe price group inc', 78)","('t. rowe price group inc', 82)","('t. rowe price group inc', 78)","('a i t s inc', 86)"
alliance bernstein muni income ii ohio,"('alliancebernstein income fund inc', 76)","('alliancebernstein lp', 90)","('alliancebernstein national municipal income fund inc', 76)","('alliancebernstein lp', 90)","('alliancebernstein income fund inc', 82)","('duke energy ohio inc', 86)"
"batavic, ny muni bond","('eaton vance new york municipal bond fund', 56)","('ata inc', 71)","('battle mountain gold co', 60)","('nfd inc', 71)","('ishares ibonds sep 2018 term muni bond etf', 62)","('vaneck vectors emerging markets high yield bond etf', 86)"
entire recycling,"('compliance recycling', 67)","('advanced environmental recycling technologies inc', 81)","('plastic recycling inc', 70)","('recycling industries inc', 81)","('boro recycling inc', 72)","('resource recycling technologies', 86)"
allianzgi technology fund,"('align technology inc', 76)","('gsi technology inc', 83)","('align technology inc', 76)","('gsi technology inc', 83)","('pacer technology', 77)","('american information technology-projected', 86)"
horizon telcom,"('horizon telecom inc', 85)","('horizon telecom inc', 93)","('horizon telecom inc', 85)","('horizon technology finance corp', 86)","('horizon telecom inc', 85)","('first horizon national corp', 86)"
dfa selective global fixed,"('techteam global inc', 58)","('ia global inc.', 77)","('first global data ltd', 64)","('hst global inc', 71)","('global a inc', 67)","('dmc global inc', 86)"
tortoise energy,"('northwest energy', 71)","('tortoise energy independence fund inc', 100)","('rooster energy ltd', 73)","('tortoise energy capital corp', 100)","('tortoise energy independence fund inc', 100)","('tortoise energy independence fund inc', 90)"
small cap,"('mccall corp', 70)","('etf managers trust purefunds ise junior silver (small cap miners/explorers) etf', 100)","('mccall corp', 70)","('mallon minerals corp', 78)","('etf managers trust purefunds ise junior silver (small cap miners/explorers) etf', 100)","('ishares enhanced us small-cap etf', 90)"
loews cos inc,"(""lowe's cos inc."", 89)","('scios inc', 89)","(""lowe's cos inc."", 89)","('cosi inc', 88)","(""lowe's cos inc."", 89)","(""lowe's cos inc."", 89)"
federal credit union account,"('fidelity union bancorp', 64)","('union corp', 80)","('general credit corp', 64)","('bdm federal', 82)","('bdm federal', 78)","('american credit', 86)"
"rental 3/las vegas, nv","('retail holdings nv', 60)","('asi', 67)","('delta rental systems inc', 62)","('relx nv', 71)","('wynn las vegas llc', 67)","('divi hotels nv', 86)"
"ellington, ct bond","('wellington hall ltd', 70)","('ngtv', 75)","('wellington hall ltd', 67)","('wellington leisure products', 82)","('ellington housing inc', 74)","('vaneck vectors emerging markets high yield bond etf', 86)"
new york thruway authority bond,"('new york airways inc', 63)","('new york airways inc', 70)","('authorized distribution network', 61)","('us data authority inc', 67)","('new york & co inc', 70)","('alltel new york inc', 86)"
regen tech,"('regenex inc', 67)","('regent technologies inc', 90)","('rentech inc.', 67)","('regent technologies inc', 90)","('rentech inc.', 67)","('allegri-tech inc', 86)"
carson city holding llc,"('csc holdings llc', 77)","('city holding co', 87)","('csc holdings llc', 77)","('csc holdings llc', 81)","('city holding co', 89)","('aci holding inc', 86)"
"victor valley, ca jt uhs bond","('victoria creations inc', 55)","('ticor', 80)","('vaneck vectors chinaamc china bond etf', 58)","('vale sa', 86)","('ohio valley banc corp.', 61)","('invesco bond fund', 86)"
wells fargo (checking account),"('wells fargo & co', 71)","('wells fargo & co', 88)","('wells fargo & co', 67)","('wells fargo & co', 86)","('wells fargo & co', 88)","('wells fargo & co', 86)"
